region,admin,year,rock_km2,normal_km2,prog_km2,critical_km2,norm_%,prog_%,critical_%,stid1,stid2,stid3,stid4,stid5,stid6,stid7,stid8,stid9
Jeju,Hallim,2023,14.8,9.6,2.8,2.4,64.7,18.9,16.4,CJ2618,,,,,,,,
Jeju,Aewol,2023,8.9,5.7,1.8,1.4,63.9,20.4,15.7,CJ2602,CJ2618,,,,,,,
Jeju,Jeju,2023,12,6.9,2.5,2.6,57,20.9,22.1,CJ2601,CJ2603,CJ2602,,,,,,
Jeju,Jocheon,2023,8.6,4.9,1.9,1.8,57.6,21.7,20.7,CJ2606,,,,,,,,
Jeju,Gujwa,2023,29,18.7,6.4,3.9,64.4,21.9,13.7,CJ2605,CJ2604,,,,,,,
Jeju,Sungsan,2023,16.2,10.4,3.1,2.7,64,19.3,16.7,CJ2607,CJ2608,CJ2610,,,,,,
Jeju,Pyosun,2023,7.5,4.1,1.6,1.8,55,21.5,23.5,CJ2610,CJ2609,,,,,,,
Jeju,Namwon,2023,14.1,8.1,2.9,3.1,57.7,20.2,22.1,CJ2609,CJ2611,,,,,,,
Jeju,Seoguipo,2023,15.9,9.2,3.4,3.3,57.9,21.1,21,CJ2613,CJ2612,,,,,,,
Jeju,Anduk,2023,5.7,3.1,1.7,0.9,54.1,30,15.9,CJ2615,,,,,,,,
Jeju,Daejung,2023,15.5,9.6,3.8,2.1,61.7,24.9,13.4,CJ2614,CJ2616,,,,,,,
East,Gosung,2024,5.5,2.5,2.2,0.8,45.5,40,14.5,CE2546,CE2547,,,,,,,
East,YangYang,2024,5.3,2.7,1.7,0.9,50.9,32.1,17,CE2539,CE2538,CE2541,CE2540,CE2545,,,,
East,Gangneung,2024,11.6,6,3.8,1.8,51.7,32.8,15.5,CE2530,CE2531,CE2527,CE2529,CE2537,CE2533,CE2534,CE2535,CE2536
East,Donghae,2024,7.1,3.7,2.3,1.1,52.1,32.4,15.5,CE2523,CE2524,CE2522,CE2525,,,,,
East,Samchuk,2024,7.7,4.2,2.2,1.3,54.5,28.6,16.9,CE2521,CE2518,CE2520,CE2519,,,,,
East,Uljin,2024,8,6,1.3,0.7,75,16.2,8.8,CE2521,CE2518,CE2520,CE2519,,,,,
